Account,date,classification,total_closed_pnl,num_trades,num_closes,num_liquidations,total_volume_usd,win_rate
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-13,Greed,3944.7294389999997,50,47,0,217121.19,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-14,Greed,104.68064,9,4,0,42271.19,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-18,Extreme Greed,-3249.381438,33,23,0,255051.3,0.30434782608695654
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-20,Extreme Greed,16210.341667,409,395,0,683441.43,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-22,Extreme Greed,548.62199,35,34,0,80548.71,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-24,Extreme Greed,3540.716915,137,129,0,175718.74,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-27,Greed,2582.715893,128,122,0,253685.34,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-28,Greed,1150.332823,37,34,0,121182.37000000001,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-29,Greed,45.381082,36,28,0,47911.02,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-30,Greed,5049.257348,134,110,0,290703.24,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-31,Extreme Greed,6216.099195999999,172,152,0,394910.55,0.7894736842105263
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-01,Greed,9609.447365,148,104,0,595897.22,0.9903846153846154
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-03,Fear,14982.681725,351,330,0,1032269.1,0.796969696969697
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-04,Greed,1985.815595,76,74,0,121983.85,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-05,Neutral,14.590934,20,15,0,42145.06,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-06,Neutral,2055.538866,73,34,0,341318.58,0.5294117647058824
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-07,Fear,2648.450789,58,54,0,231829.37,0.7592592592592593
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-08,Fear,235.47104,2,1,0,13764.55,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-09,Neutral,627.556755,71,66,0,108650.81999999999,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-10,Fear,990.674468,58,35,0,153563.73,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-11,Neutral,1053.5230999999999,5,3,0,36934.96,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-12,Neutral,-22303.603584,118,100,0,348457.81,0.28
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-13,Neutral,2390.12335,101,84,0,129157.99,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-15,Neutral,462.740727,28,19,0,108503.92,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-16,Neutral,14.54605,5,1,0,1706.16,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-18,Neutral,3112.721339,131,127,0,314138.47000000003,0.8346456692913385
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,Fear,770.462266,221,209,0,356494.68,0.7368421052631579
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-20,Neutral,1727.154021,69,64,0,145023.33,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-21,Greed,2720.828056,188,149,0,282910.54,0.8120805369127517
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-22,Neutral,1437.17482,121,83,0,265560.55,0.963855421686747
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-23,Neutral,1001.2053860000001,125,99,0,295546.9,0.98989898989899
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-25,Fear,3622.6256409999996,79,76,0,189206.48,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-26,Extreme Fear,5303.037252,86,81,0,342731.13,0.9876543209876543
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-02,Fear,948.6016900000001,12,11,0,47082.770000000004,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-03,Fear,-370.250064,101,68,0,102889.35,0.8970588235294118
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-05,Extreme Fear,-5843.04,2,1,0,85842.95999999999,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-08,Fear,556.480533,18,17,0,28328.35,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-11,Extreme Fear,23670.188163,170,161,0,544456.68,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-12,Fear,788.209533,24,21,0,49275.18,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-13,Neutral,216.69714,20,1,0,79978.34,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-15,Neutral,500.116094,33,30,0,44620.25,0.23333333333333334
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-16,Fear,941.32505,15,14,0,31065.52,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-17,Fear,5845.632627,152,146,0,196439.4,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-18,Fear,82.269533,14,10,0,8544.52,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-19,Fear,106.886191,43,42,0,50142.5,0.9285714285714286
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-20,Neutral,646.76766,32,31,0,30907.17,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-22,Fear,4462.921835,63,61,0,61012.3,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-24,Neutral,80.95313,26,23,0,4664.160000000001,0.9565217391304348
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-25,Neutral,520.971268,29,27,0,75813.27,0.9629629629629629
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-26,Neutral,96.945218,79,35,0,109409.06,0.7142857142857143
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-29,Fear,133.123947,83,81,0,42161.72,0.8148148148148148
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-31,Fear,1239.24045,52,51,0,49526.1,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-02,Fear,90.98474,11,9,0,32179.99,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-06,Fear,3370.85855,39,36,0,154160.34,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-08,Extreme Fear,948.85929,43,42,0,48011.8,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-09,Extreme Fear,1593.7933500000001,15,6,0,58405.28,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-12,Fear,1442.90516,44,42,0,61443.590000000004,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-14,Fear,1828.36966,40,33,0,124998.53,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-15,Fear,1208.695445,36,35,0,58792.0,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-16,Fear,1674.357543,35,33,0,93770.65999999999,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-18,Fear,471.89234,6,5,0,24291.37,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-19,Fear,1403.177311,55,32,0,63371.38,0.8125
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-20,Fear,-111.77234,52,50,0,60112.75,0.22
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-22,Neutral,2933.203058,327,325,0,117072.94,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-23,Greed,6439.07977,154,146,0,368639.17,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-24,Greed,1250.2581989999999,29,21,0,72627.81,0.23809523809523808
